,sacc_transformed,qseqid,staxids,sseqid,pident,evalue,bitscore,qgi,sgi,sacc,sscinames,scomnames,stitle,organism_name_taxdb,genus,family,superfamily,order,class,phylum,query_info
10,WP_010874242,WP_010874242,1080228,WP_010874242.1_GCF_000284135.1_ASM28413v1,100.0,2.33e-70,208.0,0,0,WP_010874242.1_GCF_000284135.1_ASM28413v1,Synechocystis sp. PCC 6803 substr. GT-I,Synechocystis sp. PCC 6803 substr. GT-I,MULTISPECIES: circadian clock protein KaiB [Synechocystis],Synechocystis sp. PCC 6803 substr. GT-I,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiB [Synechocystis]
11,WP_010874241,WP_010874241,1080228,WP_010874241.1_GCF_000284135.1_ASM28413v1,100.0,0.0,608.0,0,0,WP_010874241.1_GCF_000284135.1_ASM28413v1,Synechocystis sp. PCC 6803 substr. GT-I,Synechocystis sp. PCC 6803 substr. GT-I,MULTISPECIES: circadian clock protein KaiA [unclassified Synechocystis],Synechocystis sp. PCC 6803 substr. GT-I,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiA [unclassified Synechocystis]
12,WP_010874243,WP_010874243,1148,WP_010874243.1_GCF_022869765.1_ASM2286976v1,100.0,0.0,1063.0,0,0,WP_010874243.1_GCF_022869765.1_ASM2286976v1,Synechocystis sp. PCC 6803,Synechocystis sp. PCC 6803,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis],Synechocystis sp. PCC 6803,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiC [unclassified Synechocystis]
13,WP_010874242,WP_010874242,1148,WP_010874242.1_GCF_022869765.1_ASM2286976v1,100.0,2.33e-70,208.0,0,0,WP_010874242.1_GCF_022869765.1_ASM2286976v1,Synechocystis sp. PCC 6803,Synechocystis sp. PCC 6803,MULTISPECIES: circadian clock protein KaiB [Synechocystis],Synechocystis sp. PCC 6803,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiB [Synechocystis]
14,WP_010874241,WP_010874241,1148,WP_010874241.1_GCF_022869765.1_ASM2286976v1,100.0,0.0,608.0,0,0,WP_010874241.1_GCF_022869765.1_ASM2286976v1,Synechocystis sp. PCC 6803,Synechocystis sp. PCC 6803,MULTISPECIES: circadian clock protein KaiA [unclassified Synechocystis],Synechocystis sp. PCC 6803,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiA [unclassified Synechocystis]
15,WP_162329391,WP_010874243,1933929,WP_162329391.1_GCF_010222815.1_ASM1022281v1,99.615,0.0,1058.0,0,0,WP_162329391.1_GCF_010222815.1_ASM1022281v1,Synechocystis sp. CACIAM 05,Synechocystis sp. CACIAM 05,circadian clock protein KaiC [Synechocystis sp. CACIAM 05],Synechocystis sp. CACIAM 05,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,circadian clock protein KaiC [Synechocystis sp. CACIAM 05]
16,WP_010874242,WP_010874242,1933929,WP_010874242.1_GCF_010222815.1_ASM1022281v1,100.0,2.33e-70,208.0,0,0,WP_010874242.1_GCF_010222815.1_ASM1022281v1,Synechocystis sp. CACIAM 05,Synechocystis sp. CACIAM 05,MULTISPECIES: circadian clock protein KaiB [Synechocystis],Synechocystis sp. CACIAM 05,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiB [Synechocystis]
17,WP_162329390,WP_010874241,1933929,WP_162329390.1_GCF_010222815.1_ASM1022281v1,99.666,0.0,607.0,0,0,WP_162329390.1_GCF_010222815.1_ASM1022281v1,Synechocystis sp. CACIAM 05,Synechocystis sp. CACIAM 05,circadian clock protein KaiA [Synechocystis sp. CACIAM 05],Synechocystis sp. CACIAM 05,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,circadian clock protein KaiA [Synechocystis sp. CACIAM 05]
18,WP_194015373,WP_010874243,2732530,WP_194015373.1_GCF_018282115.1_ASM1828211v1,99.229,0.0,1053.0,0,0,WP_194015373.1_GCF_018282115.1_ASM1828211v1,Synechocystis sp. PCC 7338,Synechocystis sp. PCC 7338,MULTISPECIES: circadian clock protein KaiC [Synechocystis],Synechocystis sp. PCC 7338,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiC [Synechocystis]
19,WP_212720942,WP_010874242,2732530,WP_212720942.1_GCF_018282115.1_ASM1828211v1,100.0,2.8300000000000002e-70,208.0,0,0,WP_212720942.1_GCF_018282115.1_ASM1828211v1,Synechocystis sp. PCC 7338,Synechocystis sp. PCC 7338,MULTISPECIES: circadian clock protein KaiB [unclassified Synechocystis],Synechocystis sp. PCC 7338,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiB [unclassified Synechocystis]
20,WP_212720941,WP_010874241,2732530,WP_212720941.1_GCF_018282115.1_ASM1828211v1,96.656,0.0,590.0,0,0,WP_212720941.1_GCF_018282115.1_ASM1828211v1,Synechocystis sp. PCC 7338,Synechocystis sp. PCC 7338,MULTISPECIES: circadian clock protein KaiA [unclassified Synechocystis],Synechocystis sp. PCC 7338,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiA [unclassified Synechocystis]
21,WP_028947077,WP_010874243,1147,WP_028947077.1_GCF_000478825.2_ASM47882v2,98.844,0.0,1049.0,0,0,WP_028947077.1_GCF_000478825.2_ASM47882v2,Synechocystis sp. PCC 6714,Synechocystis sp. PCC 6714,circadian clock protein KaiC [Synechocystis sp. PCC 6714],Synechocystis sp. PCC 6714,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,circadian clock protein KaiC [Synechocystis sp. PCC 6714]
22,WP_028947078,WP_010874242,1147,WP_028947078.1_GCF_000478825.2_ASM47882v2,99.048,9.07e-70,207.0,0,0,WP_028947078.1_GCF_000478825.2_ASM47882v2,Synechocystis sp. PCC 6714,Synechocystis sp. PCC 6714,circadian clock protein KaiB [Synechocystis sp. PCC 6714],Synechocystis sp. PCC 6714,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,circadian clock protein KaiB [Synechocystis sp. PCC 6714]
23,WP_028947079,WP_010874241,1147,WP_028947079.1_GCF_000478825.2_ASM47882v2,93.645,0.0,573.0,0,0,WP_028947079.1_GCF_000478825.2_ASM47882v2,Synechocystis sp. PCC 6714,Synechocystis sp. PCC 6714,circadian clock protein KaiA [Synechocystis sp. PCC 6714],Synechocystis sp. PCC 6714,Synechocystis,Merismopediaceae,unknown,Synechococcales,unknown,Cyanobacteria,circadian clock protein KaiA [Synechocystis sp. PCC 6714]
24,WP_015145807,WP_010874243,118163,WP_015145807.1_GCF_000317025.1_ASM31702v1,90.366,0.0,974.0,0,0,WP_015145807.1_GCF_000317025.1_ASM31702v1,Pleurocapsa sp. PCC 7327,Pleurocapsa sp. PCC 7327,circadian clock protein KaiC [Pleurocapsa sp. PCC 7327],Pleurocapsa sp. PCC 7327,Pleurocapsa,Hyellaceae,unknown,Pleurocapsales,unknown,Cyanobacteria,circadian clock protein KaiC [Pleurocapsa sp. PCC 7327]
25,WP_015145808,WP_010874242,118163,WP_015145808.1_GCF_000317025.1_ASM31702v1,93.269,9.93e-64,191.0,0,0,WP_015145808.1_GCF_000317025.1_ASM31702v1,Pleurocapsa sp. PCC 7327,Pleurocapsa sp. PCC 7327,MULTISPECIES: circadian clock protein KaiB [Pleurocapsales],Pleurocapsa sp. PCC 7327,Pleurocapsa,Hyellaceae,unknown,Pleurocapsales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiB [Pleurocapsales]
26,WP_015145392,WP_010874242,118163,WP_015145392.1_GCF_000317025.1_ASM31702v1,48.78,1.04e-22,91.7,0,0,WP_015145392.1_GCF_000317025.1_ASM31702v1,Pleurocapsa sp. PCC 7327,Pleurocapsa sp. PCC 7327,circadian clock KaiB family protein [Pleurocapsa sp. PCC 7327],Pleurocapsa sp. PCC 7327,Pleurocapsa,Hyellaceae,unknown,Pleurocapsales,unknown,Cyanobacteria,circadian clock KaiB family protein [Pleurocapsa sp. PCC 7327]
27,WP_015145809,WP_010874241,118163,WP_015145809.1_GCF_000317025.1_ASM31702v1,53.333,2.9e-110,325.0,0,0,WP_015145809.1_GCF_000317025.1_ASM31702v1,Pleurocapsa sp. PCC 7327,Pleurocapsa sp. PCC 7327,circadian clock protein KaiA [Pleurocapsa sp. PCC 7327],Pleurocapsa sp. PCC 7327,Pleurocapsa,Hyellaceae,unknown,Pleurocapsales,unknown,Cyanobacteria,circadian clock protein KaiA [Pleurocapsa sp. PCC 7327]
28,WP_012598007,WP_010874243,65393,WP_012598007.1_GCF_000021825.1_ASM2182v1,90.329,0.0,965.0,0,0,WP_012598007.1_GCF_000021825.1_ASM2182v1,Gloeothece citriformis PCC 7424,Gloeothece citriformis PCC 7424,circadian clock protein KaiC [Gloeothece citriformis],Gloeothece citriformis PCC 7424,Gloeothece,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiC [Gloeothece citriformis]
29,WP_012598008,WP_010874242,65393,WP_012598008.1_GCF_000021825.1_ASM2182v1,91.262,7.17e-63,189.0,0,0,WP_012598008.1_GCF_000021825.1_ASM2182v1,Gloeothece citriformis PCC 7424,Gloeothece citriformis PCC 7424,circadian clock protein KaiB [Gloeothece citriformis],Gloeothece citriformis PCC 7424,Gloeothece,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiB [Gloeothece citriformis]
30,WP_041237876,WP_010874242,65393,WP_041237876.1_GCF_000021825.1_ASM2182v1,41.463,6.19e-18,79.3,0,0,WP_041237876.1_GCF_000021825.1_ASM2182v1,Gloeothece citriformis PCC 7424,Gloeothece citriformis PCC 7424,circadian clock KaiB family protein [Gloeothece citriformis],Gloeothece citriformis PCC 7424,Gloeothece,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock KaiB family protein [Gloeothece citriformis]
31,WP_239005429,WP_010874241,65393,WP_239005429.1_GCF_000021825.1_ASM2182v1,50.161,2.89e-105,312.0,0,0,WP_239005429.1_GCF_000021825.1_ASM2182v1,Gloeothece citriformis PCC 7424,Gloeothece citriformis PCC 7424,circadian clock protein KaiA [Gloeothece citriformis],Gloeothece citriformis PCC 7424,Gloeothece,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiA [Gloeothece citriformis]
32,WP_015785209,WP_010874243,41431,WP_015785209.1_GCF_000021805.1_ASM2180v1,90.135,0.0,965.0,0,0,WP_015785209.1_GCF_000021805.1_ASM2180v1,Rippkaea orientalis PCC 8801,Rippkaea orientalis PCC 8801,circadian clock protein KaiC [Rippkaea orientalis],Rippkaea orientalis PCC 8801,Rippkaea,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiC [Rippkaea orientalis]
33,WP_015785210,WP_010874242,41431,WP_015785210.1_GCF_000021805.1_ASM2180v1,92.233,2.8699999999999997e-62,187.0,0,0,WP_015785210.1_GCF_000021805.1_ASM2180v1,Rippkaea orientalis PCC 8801,Rippkaea orientalis PCC 8801,circadian clock protein KaiB [Rippkaea orientalis],Rippkaea orientalis PCC 8801,Rippkaea,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiB [Rippkaea orientalis]
34,WP_012596046,WP_010874242,41431,WP_012596046.1_GCF_000021805.1_ASM2180v1,42.169,6.65e-19,81.6,0,0,WP_012596046.1_GCF_000021805.1_ASM2180v1,Rippkaea orientalis PCC 8801,Rippkaea orientalis PCC 8801,circadian clock KaiB family protein [Rippkaea orientalis],Rippkaea orientalis PCC 8801,Rippkaea,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock KaiB family protein [Rippkaea orientalis]
35,WP_015957322,WP_010874241,41431,WP_015957322.1_GCF_000021805.1_ASM2180v1,53.42,2.47e-110,325.0,0,0,WP_015957322.1_GCF_000021805.1_ASM2180v1,Rippkaea orientalis PCC 8801,Rippkaea orientalis PCC 8801,circadian clock protein KaiA [Rippkaea orientalis],Rippkaea orientalis PCC 8801,Rippkaea,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiA [Rippkaea orientalis]
36,WP_013321813,WP_010874243,497965,WP_013321813.1_GCF_000147335.1_ASM14733v1,89.749,0.0,963.0,0,0,WP_013321813.1_GCF_000147335.1_ASM14733v1,Gloeothece verrucosa PCC 7822,Gloeothece verrucosa PCC 7822,circadian clock protein KaiC [Gloeothece verrucosa],Gloeothece verrucosa PCC 7822,Gloeothece,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiC [Gloeothece verrucosa]
37,WP_013321814,WP_010874242,497965,WP_013321814.1_GCF_000147335.1_ASM14733v1,92.233,2.95e-63,190.0,0,0,WP_013321814.1_GCF_000147335.1_ASM14733v1,Gloeothece verrucosa PCC 7822,Gloeothece verrucosa PCC 7822,circadian clock protein KaiB [Gloeothece verrucosa],Gloeothece verrucosa PCC 7822,Gloeothece,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiB [Gloeothece verrucosa]
38,WP_013325372,WP_010874242,497965,WP_013325372.1_GCF_000147335.1_ASM14733v1,53.333,1.83e-19,79.3,0,0,WP_013325372.1_GCF_000147335.1_ASM14733v1,Gloeothece verrucosa PCC 7822,Gloeothece verrucosa PCC 7822,circadian clock KaiB family protein [Gloeothece verrucosa],Gloeothece verrucosa PCC 7822,Gloeothece,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock KaiB family protein [Gloeothece verrucosa]
39,WP_013322402,WP_010874242,497965,WP_013322402.1_GCF_000147335.1_ASM14733v1,42.169,6.88e-18,79.3,0,0,WP_013322402.1_GCF_000147335.1_ASM14733v1,Gloeothece verrucosa PCC 7822,Gloeothece verrucosa PCC 7822,circadian clock KaiB family protein [Gloeothece verrucosa],Gloeothece verrucosa PCC 7822,Gloeothece,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock KaiB family protein [Gloeothece verrucosa]
40,WP_013321815,WP_010874241,497965,WP_013321815.1_GCF_000147335.1_ASM14733v1,50.938,3.69e-107,318.0,0,0,WP_013321815.1_GCF_000147335.1_ASM14733v1,Gloeothece verrucosa PCC 7822,Gloeothece verrucosa PCC 7822,circadian clock protein KaiA [Gloeothece verrucosa],Gloeothece verrucosa PCC 7822,Gloeothece,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiA [Gloeothece verrucosa]
41,WP_009546510,WP_010874243,43989,WP_009546510.1_GCF_000017845.1_ASM1784v1,90.366,0.0,961.0,0,0,WP_009546510.1_GCF_000017845.1_ASM1784v1,Crocosphaera subtropica ATCC 51142,Crocosphaera subtropica ATCC 51142,circadian clock protein KaiC [Crocosphaera subtropica],Crocosphaera subtropica ATCC 51142,Crocosphaera,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiC [Crocosphaera subtropica]
42,WP_024750203,WP_010874242,43989,WP_024750203.1_GCF_000017845.1_ASM1784v1,91.262,1.25e-60,184.0,0,0,WP_024750203.1_GCF_000017845.1_ASM1784v1,Crocosphaera subtropica ATCC 51142,Crocosphaera subtropica ATCC 51142,circadian clock protein KaiB [Crocosphaera subtropica],Crocosphaera subtropica ATCC 51142,Crocosphaera,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiB [Crocosphaera subtropica]
43,WP_009546523,WP_010874242,43989,WP_009546523.1_GCF_000017845.1_ASM1784v1,42.5,1.04e-19,84.0,0,0,WP_009546523.1_GCF_000017845.1_ASM1784v1,Crocosphaera subtropica ATCC 51142,Crocosphaera subtropica ATCC 51142,circadian clock KaiB family protein [Crocosphaera subtropica],Crocosphaera subtropica ATCC 51142,Crocosphaera,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock KaiB family protein [Crocosphaera subtropica]
44,WP_009546512,WP_010874241,43989,WP_009546512.1_GCF_000017845.1_ASM1784v1,56.333,9.74e-115,336.0,0,0,WP_009546512.1_GCF_000017845.1_ASM1784v1,Crocosphaera subtropica ATCC 51142,Crocosphaera subtropica ATCC 51142,circadian clock protein KaiA [Crocosphaera subtropica],Crocosphaera subtropica ATCC 51142,Crocosphaera,Aphanothecaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiA [Crocosphaera subtropica]
45,WP_002775266,WP_010874243,449468,WP_002775266.1_GCF_010196425.1_ASM1019642v1,90.196,0.0,957.0,0,0,WP_002775266.1_GCF_010196425.1_ASM1019642v1,Microcystis aeruginosa NIES-298,Microcystis aeruginosa NIES-298,circadian clock protein KaiC [Microcystis aeruginosa],Microcystis aeruginosa NIES-298,Microcystis,Microcystaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiC [Microcystis aeruginosa]
46,WP_002733742,WP_010874242,449468,WP_002733742.1_GCF_010196425.1_ASM1019642v1,95.05,2.04e-63,191.0,0,0,WP_002733742.1_GCF_010196425.1_ASM1019642v1,Microcystis aeruginosa NIES-298,Microcystis aeruginosa NIES-298,MULTISPECIES: circadian clock protein KaiB [Microcystis],Microcystis aeruginosa NIES-298,Microcystis,Microcystaceae,unknown,Chroococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiB [Microcystis]
47,WP_002751035,WP_010874242,449468,WP_002751035.1_GCF_010196425.1_ASM1019642v1,43.023,4.52e-19,82.4,0,0,WP_002751035.1_GCF_010196425.1_ASM1019642v1,Microcystis aeruginosa NIES-298,Microcystis aeruginosa NIES-298,circadian clock KaiB family protein [Microcystis aeruginosa],Microcystis aeruginosa NIES-298,Microcystis,Microcystaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock KaiB family protein [Microcystis aeruginosa]
48,WP_103112530,WP_010874241,449468,WP_103112530.1_GCF_010196425.1_ASM1019642v1,51.515,4.54e-103,306.0,0,0,WP_103112530.1_GCF_010196425.1_ASM1019642v1,Microcystis aeruginosa NIES-298,Microcystis aeruginosa NIES-298,circadian clock protein KaiA [Microcystis aeruginosa],Microcystis aeruginosa NIES-298,Microcystis,Microcystaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock protein KaiA [Microcystis aeruginosa]
49,WP_002743493,WP_010874243,267865,WP_002743493.1_GCF_021172085.1_ASM2117208v1,90.0,0.0,957.0,0,0,WP_002743493.1_GCF_021172085.1_ASM2117208v1,Microcystis aeruginosa FACHB-905,Microcystis aeruginosa FACHB-905,MULTISPECIES: circadian clock protein KaiC [Microcystis],Microcystis aeruginosa FACHB-905 = DIANCHI905,Microcystis,Microcystaceae,unknown,Chroococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiC [Microcystis]
50,WP_002733742,WP_010874242,267865,WP_002733742.1_GCF_021172085.1_ASM2117208v1,95.05,2.04e-63,191.0,0,0,WP_002733742.1_GCF_021172085.1_ASM2117208v1,Microcystis aeruginosa FACHB-905,Microcystis aeruginosa FACHB-905,MULTISPECIES: circadian clock protein KaiB [Microcystis],Microcystis aeruginosa FACHB-905 = DIANCHI905,Microcystis,Microcystaceae,unknown,Chroococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiB [Microcystis]
51,WP_036401094,WP_010874242,267865,WP_036401094.1_GCF_021172085.1_ASM2117208v1,43.023,3.59e-19,82.4,0,0,WP_036401094.1_GCF_021172085.1_ASM2117208v1,Microcystis aeruginosa FACHB-905,Microcystis aeruginosa FACHB-905,circadian clock KaiB family protein [Microcystis aeruginosa],Microcystis aeruginosa FACHB-905 = DIANCHI905,Microcystis,Microcystaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock KaiB family protein [Microcystis aeruginosa]
52,WP_002750903,WP_010874241,267865,WP_002750903.1_GCF_021172085.1_ASM2117208v1,51.515,4.900000000000001e-103,306.0,0,0,WP_002750903.1_GCF_021172085.1_ASM2117208v1,Microcystis aeruginosa FACHB-905,Microcystis aeruginosa FACHB-905,MULTISPECIES: circadian clock protein KaiA [Microcystis],Microcystis aeruginosa FACHB-905 = DIANCHI905,Microcystis,Microcystaceae,unknown,Chroococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiA [Microcystis]
53,WP_002743493,WP_010874243,1903187,WP_002743493.1_GCF_002095975.1_ASM209597v1,90.0,0.0,957.0,0,0,WP_002743493.1_GCF_002095975.1_ASM209597v1,Microcystis aeruginosa PCC 7806SL,Microcystis aeruginosa PCC 7806SL,MULTISPECIES: circadian clock protein KaiC [Microcystis],Microcystis aeruginosa PCC 7806SL,Microcystis,Microcystaceae,unknown,Chroococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiC [Microcystis]
54,WP_002733742,WP_010874242,1903187,WP_002733742.1_GCF_002095975.1_ASM209597v1,95.05,2.04e-63,191.0,0,0,WP_002733742.1_GCF_002095975.1_ASM209597v1,Microcystis aeruginosa PCC 7806SL,Microcystis aeruginosa PCC 7806SL,MULTISPECIES: circadian clock protein KaiB [Microcystis],Microcystis aeruginosa PCC 7806SL,Microcystis,Microcystaceae,unknown,Chroococcales,unknown,Cyanobacteria,MULTISPECIES: circadian clock protein KaiB [Microcystis]
55,WP_036401094,WP_010874242,1903187,WP_036401094.1_GCF_002095975.1_ASM209597v1,43.023,3.59e-19,82.4,0,0,WP_036401094.1_GCF_002095975.1_ASM209597v1,Microcystis aeruginosa PCC 7806SL,Microcystis aeruginosa PCC 7806SL,circadian clock KaiB family protein [Microcystis aeruginosa],Microcystis aeruginosa PCC 7806SL,Microcystis,Microcystaceae,unknown,Chroococcales,unknown,Cyanobacteria,circadian clock KaiB family protein [Microcystis aeruginosa]
