forward_genome_id	backward_genome_id	staxids
WP_038001870	WP_010874243	221352
WP_006043362	WP_010874243	1442556
WP_130129831	WP_010874243	59932
WP_231598001	WP_010874243	1353134
WP_231598001	WP_010874243	1353138
WP_186583250	WP_010874243	1442554
WP_015167871	WP_010874243	1173263
WP_043737180	WP_010874243	221341
WP_186470362	WP_010874243	1050655
WP_186470362	WP_010874243	1866938
WP_115125550	WP_010874243	166309
WP_186471856	WP_010874243	1442551
WP_011359364	WP_010874243	316279
WP_185187139	WP_010874243	2751170
WP_214339793	WP_010874243	2741953
WP_010310800	WP_010874243	232348
WP_186700182	WP_010874243	261284
WP_186538483	WP_010874243	1400864
WP_186490201	WP_010874243	1400865
WP_043692575	WP_010874243	1050624
WP_043692575	WP_010874243	585423
WP_011127419	WP_010874243	84588
WP_231597252	WP_010874243	1353136
WP_186513823	WP_010874243	1050646
WP_186570540	WP_010874243	1400866
WP_186509994	WP_010874243	221345
WP_186509994	WP_010874243	221350
WP_011365071	WP_010874243	1442558
WP_011365071	WP_010874243	110662
WP_038553316	WP_010874243	585425
WP_115069971	WP_010874243	1442557
WP_115161640	WP_010874243	1050657
WP_025362485	WP_010874243	166314
WP_186589082	WP_010874243	1386941
WP_186541034	WP_010874243	1442553
WP_186525613	WP_010874243	1050714
WP_048347099	WP_010874243	32052
WP_011620130	WP_010874243	64471
WP_038546340	WP_010874243	1280380
WP_197162754	WP_010874243	2789857
WP_186516143	WP_010874243	1968775
WP_012954135	WP_010874243	1453429
WP_015110635	WP_010874243	292564
WP_015163971	WP_010874243	82654
WP_126389899	WP_010874243	685565
WP_150884654	WP_010874243	2511069
WP_086934913	WP_010874243	93059
WP_071801161	WP_010874243	1916956
WP_011295261	WP_010874243	59920
WP_041374702	WP_010874243	59922
WP_011130786	WP_010874243	74547
WP_038653976	WP_010874243	1501269
WP_011824320	WP_010874243	167555
WP_011132976	WP_010874243	59919
WP_011125574	WP_010874243	167539
WP_077142238	WP_010874243	1924287
WP_077142238	WP_010874243	1924286
WP_077142238	WP_010874243	1924285
WP_012008224	WP_010874243	93060
WP_011820806	WP_010874243	167542
WP_011818958	WP_010874243	146891
WP_036924033	WP_010874243	74546
WP_011863455	WP_010874243	167546
WP_042850895	WP_010874243	1501268
WP_218080516	WP_010874243	2778476
WP_015193307	WP_010874243	111780
WP_242720492	WP_010874243	2303329
WP_223300749	WP_010874243	179408
WP_070391800	WP_010874243	1458985
WP_035149130	WP_010874243	1337936
WP_010874242	WP_010874242	2116702
WP_010874242	WP_010874242	1080230
WP_010874242	WP_010874242	1080229
WP_010874242	WP_010874242	1080228
WP_010874242	WP_010874242	1148
WP_010874242	WP_010874242	1933929
WP_212720942	WP_010874242	2732530
WP_028947078	WP_010874242	1147
WP_015145808	WP_010874242	118163
WP_002733742	WP_010874242	267865
WP_002733742	WP_010874242	1126
WP_002733742	WP_010874242	449468
WP_002733742	WP_010874242	2686288
WP_002733742	WP_010874242	213615
WP_002733742	WP_010874242	1967666
WP_002733742	WP_010874242	1903187
WP_002733742	WP_010874242	449447
WP_002800410	WP_010874242	1698524
WP_002800410	WP_010874242	1641812
WP_013321814	WP_010874242	497965
WP_012598008	WP_010874242	65393
WP_015221081	WP_010874242	755178
WP_015785210	WP_010874242	41431
WP_017293901	WP_010874242	1617448
WP_017293901	WP_010874242	1615909
WP_017293901	WP_010874242	113355
WP_006632119	WP_010874242	669365
WP_006632119	WP_010874242	2303329
WP_006632119	WP_010874242	179408
WP_015180367	WP_010874242	1173027
WP_168568047	WP_010874242	2064643
WP_068507005	WP_010874242	2811482
WP_068507005	WP_010874242	2737172
WP_096385121	WP_010874242	1807358
WP_024750203	WP_010874242	43989
WP_015191647	WP_010874242	111780
WP_211619801	WP_010874242	2812896
WP_199250173	WP_010874242	222819
WP_179051140	WP_010874242	2576904
WP_096717847	WP_010874242	2005460
WP_198804676	WP_010874242	1115757
WP_015173271	WP_010874242	1173025
WP_072717063	WP_010874242	1678309
WP_008182352	WP_010874242	1454205
WP_011317867	WP_010874242	375899
WP_011317867	WP_010874242	2490939
WP_011317867	WP_010874242	240292
WP_010997036	WP_010874242	103690
WP_010997036	WP_010874242	1973479
WP_254173413	WP_010874242	132604
WP_019495861	WP_010874242	2853227
WP_015158124	WP_010874242	1173020
WP_026788631	WP_010874242	1160
WP_026788631	WP_010874242	329571
WP_026788631	WP_010874242	388467
WP_070396020	WP_010874242	1458985
WP_006618253	WP_010874242	459495
WP_006618253	WP_010874242	2759955
WP_006618253	WP_010874242	376219
WP_080810498	WP_010874242	1641165
WP_015140003	WP_010874242	28072
WP_119259529	WP_010874242	1763363
WP_194055195	WP_010874242	984208
WP_067763282	WP_010874242	1751286
WP_067763282	WP_010874242	1973475
WP_013193180	WP_010874242	551115
WP_224341587	WP_010874242	2653194
WP_223046910	WP_010874242	2016068
WP_015133073	WP_010874242	111781
WP_096571703	WP_010874242	1973480
WP_015123057	WP_010874242	195253
WP_011056333	WP_010874242	197221
WP_011056333	WP_010874242	1394889
WP_099797678	WP_010874242	1917166
WP_015202681	WP_010874242	1173022
WP_114082480	WP_010874242	2576903
WP_114082480	WP_010874242	2572090
WP_114082480	WP_010874242	76335
WP_212662281	WP_010874242	2740837
WP_212662281	WP_010874242	2762553
WP_073634259	WP_010874242	2005464
WP_073634259	WP_010874242	1137095
WP_096540973	WP_010874242	1091006
WP_109012544	WP_010874242	2653204
WP_109012544	WP_010874242	446679
WP_012409411	WP_010874242	63737
WP_206199962	WP_010874242	2813673
WP_148765324	WP_010874242	315271
WP_148765324	WP_010874242	1914871
WP_096693642	WP_010874242	2005469
WP_096693642	WP_010874242	2005463
WP_035155581	WP_010874242	1337936
WP_131454691	WP_010874242	2751171
WP_100901655	WP_010874242	2038116
WP_197162752	WP_010874242	2789857
WP_015163972	WP_010874242	82654
WP_181494620	WP_010874242	2016101
WP_027401468	WP_010874242	747523
WP_186490203	WP_010874242	1400865
WP_006198954	WP_010874242	1914872
WP_006198954	WP_010874242	313624
WP_149818898	WP_010874242	2583530
WP_010479745	WP_010874242	329726
WP_039201202	WP_010874242	1647413
WP_039201202	WP_010874242	1973481
WP_011825217	WP_010874242	59922
WP_015081529	WP_010874242	46234
WP_015131316	WP_010874242	99598
WP_062294773	WP_010874242	224013
WP_200989560	WP_010874242	2779889
WP_007101689	WP_010874242	221352
WP_066911227	WP_010874242	1400864
WP_186470361	WP_010874242	1050655
WP_186470361	WP_010874242	1866938
WP_011933861	WP_010874242	1442551
WP_011933861	WP_010874242	1442554
WP_011933861	WP_010874242	1442556
WP_186479709	WP_010874242	1442555
WP_006850278	WP_010874242	1050657
WP_006850278	WP_010874242	1442553
WP_006850278	WP_010874242	166314
WP_006850278	WP_010874242	110662
WP_011359363	WP_010874242	316279
WP_067095928	WP_010874242	166309
WP_104900424	WP_010874242	1261031
WP_186570541	WP_010874242	1400866
WP_015197563	WP_010874242	1170562
WP_038553313	WP_010874242	585425
WP_038546343	WP_010874242	1280380
WP_015112917	WP_010874242	317936
WP_096581018	WP_010874242	1085406
WP_011127418	WP_010874242	84588
WP_043692576	WP_010874242	1050624
WP_043692576	WP_010874242	585423
WP_103139268	WP_010874242	1869241
WP_009459932	WP_010874242	1752063
WP_096558641	WP_010874242	2814655
WP_096558641	WP_010874242	2005458
WP_146295556	WP_010874242	522448
WP_011130787	WP_010874242	74547
WP_169266311	WP_010874242	415709
WP_197151361	WP_010874242	1353147
WP_048347100	WP_010874242	1386941
WP_048347100	WP_010874242	1050714
WP_048347100	WP_010874242	32052
WP_186516144	WP_010874242	1968775
WP_009626105	WP_010874242	685565
WP_187007152	WP_010874242	59932
WP_011620131	WP_010874242	64471
WP_015167870	WP_010874242	1173263
WP_010310802	WP_010874242	232348
WP_015110636	WP_010874242	292564
WP_186544198	WP_010874242	1442557
WP_096624702	WP_010874242	2005462
WP_015215370	WP_010874242	272123
WP_231597251	WP_010874242	1353136
WP_214339791	WP_010874242	2741953
WP_186513824	WP_010874242	1050646
WP_186509993	WP_010874242	221345
WP_186509993	WP_010874242	221350
WP_114989467	WP_010874242	1442558
WP_096641765	WP_010874242	1973478
WP_011242647	WP_010874242	2479200
WP_011242647	WP_010874242	1350461
WP_011242647	WP_010874242	269084
WP_208677542	WP_010874242	2283154
WP_015230935	WP_010874242	13035
WP_071801162	WP_010874242	1916956
WP_045867907	WP_010874242	2099387
WP_045867907	WP_010874242	231146
WP_017289886	WP_010874242	462680
WP_017289886	WP_010874242	1973484
WP_017289886	WP_010874242	1260963
WP_017289886	WP_010874242	411966
WP_185187138	WP_010874242	2751170
WP_208673132	WP_010874242	2219813
WP_096608162	WP_010874242	1954172
WP_041463238	WP_010874242	2653189
WP_041463238	WP_010874242	251229
WP_179066879	WP_010874242	2576902
WP_038653978	WP_010874242	1501269
WP_099099291	WP_010874242	1618022
WP_130129832	WP_010874242	59932
WP_011820807	WP_010874242	167542
WP_011132977	WP_010874242	59919
WP_011818959	WP_010874242	146891
WP_011863456	WP_010874242	167546
WP_002807968	WP_010874242	93060
WP_002807968	WP_010874242	1924287
WP_002807968	WP_010874242	1924286
WP_002807968	WP_010874242	1924285
WP_150884653	WP_010874242	2511069
WP_011936241	WP_010874242	221341
WP_096675813	WP_010874242	2005456
WP_015188903	WP_010874242	1173026
WP_011295262	WP_010874242	59920
WP_069069132	WP_010874242	1472755
WP_011824321	WP_010874242	167555
WP_011376985	WP_010874242	74546
WP_068383805	WP_010874242	1752064
WP_025913788	WP_010874242	1501268
WP_096592857	WP_010874242	1954171
WP_231598002	WP_010874242	1353134
WP_011125575	WP_010874242	167539
WP_225875782	WP_010874242	261284
WP_015225154	WP_010874242	65093
WP_012195949	WP_010874242	93059
WP_011430723	WP_010874242	321332
WP_011430723	WP_010874242	321327
WP_187705272	WP_010874242	2666332
WP_231605384	WP_010874242	1353138
WP_251957493	WP_010874242	449208
WP_024546079	WP_010874242	1827144
WP_030006078	WP_010874242	195248
WP_030006078	WP_010874242	195498
WP_030006078	WP_010874242	374981
WP_030006078	WP_010874242	374982
WP_030006078	WP_010874242	32049
WP_030006078	WP_010874242	2579791
WP_015208713	WP_010874242	56107
WP_190604342	WP_010874242	1357546
WP_230402773	WP_010874242	1188229
WP_015147792	WP_010874242	56110
WP_017324096	WP_010874242	195250
WP_236308322	WP_010874242	683357
WP_006276131	WP_010874242	1524929
WP_006276131	WP_010874242	2108055
WP_250123414	WP_010874242	155894
WP_015119207	WP_010874242	373994
WP_096656127	WP_010874242	1973488
WP_015135211	WP_010874242	111781
WP_096417101	WP_010874242	1827144
WP_083997966	WP_010874242	374981
WP_012306548	WP_010874242	195248
WP_012306548	WP_010874242	195498
WP_012306548	WP_010874242	374982
WP_012306548	WP_010874242	32049
WP_012306548	WP_010874242	2579791
WP_006631319	WP_010874242	669365
WP_017287953	WP_010874242	462680
WP_017287953	WP_010874242	1973484
WP_017287953	WP_010874242	1260963
WP_017287953	WP_010874242	411966
WP_015145392	WP_010874242	118163
WP_242717464	WP_010874242	2303329
WP_096691369	WP_010874242	2005469
WP_096691369	WP_010874242	2005463
WP_233258442	WP_010874242	222819
WP_096557160	WP_010874242	2005458
WP_015175850	WP_010874242	179408
WP_015140978	WP_010874242	28072
WP_011320368	WP_010874242	375899
WP_011320368	WP_010874242	2490939
WP_011320368	WP_010874242	240292
WP_042341684	WP_010874242	99598
WP_169263935	WP_010874242	415709
WP_015173245	WP_010874242	1173025
WP_206268747	WP_010874242	2814655
WP_067768554	WP_010874242	1751286
WP_067768554	WP_010874242	1973475
WP_010997479	WP_010874242	103690
WP_010997479	WP_010874242	1973479
WP_180381179	WP_010874242	1752063
WP_073628192	WP_010874242	1137095
WP_167727536	WP_010874242	2099387
WP_096584070	WP_010874242	231146
WP_103140197	WP_010874242	1869241
WP_096678682	WP_010874242	2005456
WP_250123612	WP_010874242	155894
WP_015112789	WP_010874242	317936
WP_070393838	WP_010874242	1458985
WP_084761920	WP_010874242	1752064
WP_096580643	WP_010874242	1085406
WP_071106679	WP_010874242	1454205
WP_096561989	WP_010874242	2005464
WP_179047320	WP_010874242	2576904
WP_062294573	WP_010874242	224013
WP_035153555	WP_010874242	1337936
WP_096660225	WP_010874242	1973488
WP_227517490	WP_010874242	1917166
WP_096572527	WP_010874242	1973480
WP_190607365	WP_010874242	1357546
WP_220608422	WP_010874242	984208
WP_096624099	WP_010874242	2005462
WP_042153732	WP_010874242	1160
WP_042153732	WP_010874242	388467
WP_200987317	WP_010874242	2779889
WP_027248781	WP_010874242	1160
WP_026796282	WP_010874242	329571
WP_009546523	WP_010874242	43989
WP_254033202	WP_010874242	1160
WP_015150003	WP_010874242	56110
WP_015186612	WP_010874242	1173026
WP_015198880	WP_010874242	1170562
WP_096593464	WP_010874242	1954171
WP_041226011	WP_010874242	1173022
WP_250012513	WP_010874242	2653189
WP_013325372	WP_010874242	497965
WP_096607064	WP_010874242	1954172
WP_015155201	WP_010874242	251229
WP_119260640	WP_010874242	1763363
WP_083580171	WP_010874242	132604
WP_083580171	WP_010874242	1678309
WP_036401094	WP_010874242	267865
WP_036401094	WP_010874242	1903187
WP_044291332	WP_010874242	373994
WP_015229366	WP_010874242	13035
WP_002758959	WP_010874242	1126
WP_002758959	WP_010874242	213615
WP_002758959	WP_010874242	449447
WP_158201250	WP_010874242	2686288
WP_002751035	WP_010874242	449468
WP_106909306	WP_010874242	1967666
WP_228116413	WP_010874242	2759955
WP_228116413	WP_010874242	376219
WP_013189697	WP_010874242	551115
WP_150881829	WP_010874242	2511069
WP_104906328	WP_010874242	1618022
WP_223981873	WP_010874242	2853227
WP_012596046	WP_010874242	41431
WP_174712324	WP_010874242	2572090
WP_015224553	WP_010874242	65093
WP_114083392	WP_010874242	2576903
WP_114083392	WP_010874242	76335
WP_107805757	WP_010874242	1914872
WP_046662123	WP_010874242	1698524
WP_046662123	WP_010874242	1641812
WP_094328965	WP_010874242	1261031
WP_042202243	WP_010874242	313624
WP_179066174	WP_010874242	2576902
WP_083782471	WP_010874242	63737
WP_181927649	WP_010874242	1472755
WP_100897129	WP_010874242	2038116
WP_015207247	WP_010874242	56107
WP_152590335	WP_010874242	2653204
WP_118166545	WP_010874242	446679
WP_096644954	WP_010874242	1973478
WP_035759058	WP_010874242	459495
WP_253276370	WP_010874242	195253
WP_042466071	WP_010874242	272123
WP_181496518	WP_010874242	2016101
WP_015215690	WP_010874242	272123
WP_190278139	WP_010874242	2583530
WP_041237876	WP_010874242	65393
WP_080810619	WP_010874242	1641165
WP_013322402	WP_010874242	497965
WP_223049147	WP_010874242	2016068
WP_096541873	WP_010874242	1091006
WP_146296087	WP_010874242	522448
WP_172356876	WP_010874242	2811482
WP_172356876	WP_010874242	2737172
WP_148762047	WP_010874242	1914871
WP_168632172	WP_010874242	315271
WP_015080821	WP_010874242	46234
WP_096670428	WP_010874242	1973481
WP_053541198	WP_010874242	1647413
WP_206201235	WP_010874242	2813673
WP_027401873	WP_010874242	747523
WP_024125951	WP_010874242	1394889
WP_164920713	WP_010874242	197221
WP_012163545	WP_010874242	329726
WP_235110902	WP_010874242	2740837
WP_212663791	WP_010874242	2762553
WP_168569347	WP_010874242	2064643
WP_224340226	WP_010874242	2653194
WP_006278392	WP_010874242	683357
WP_006278392	WP_010874242	1524929
WP_006278392	WP_010874242	2108055
WP_187707041	WP_010874242	2666332
WP_096387888	WP_010874242	1807358
WP_015193956	WP_010874242	111780
WP_198807477	WP_010874242	1115757
WP_096720501	WP_010874242	2005460
WP_010874241	WP_010874241	2116702
WP_010874241	WP_010874241	1080230
WP_010874241	WP_010874241	1080229
WP_010874241	WP_010874241	1080228
WP_010874241	WP_010874241	1148
WP_162329390	WP_010874241	1933929
WP_212720941	WP_010874241	2732530
WP_028947079	WP_010874241	1147
WP_009546512	WP_010874241	43989
WP_015957322	WP_010874241	41431
WP_015145809	WP_010874241	118163
WP_041922980	WP_010874241	755178
WP_013321815	WP_010874241	497965
WP_239005429	WP_010874241	65393
WP_041804118	WP_010874241	213615
WP_041804118	WP_010874241	449447
WP_158201533	WP_010874241	2686288
WP_106908241	WP_010874241	1967666
WP_103112530	WP_010874241	449468
WP_002750903	WP_010874241	267865
WP_002750903	WP_010874241	1903187
WP_046662387	WP_010874241	1698524
WP_046662387	WP_010874241	1641812
WP_066118607	WP_010874241	1617448
WP_061432112	WP_010874241	1126
WP_096385120	WP_010874241	1807358
WP_015191646	WP_010874241	111780
WP_026101981	WP_010874241	113355
WP_119259530	WP_010874241	1763363
WP_066343578	WP_010874241	1615909
WP_065715809	WP_010874241	195248
WP_065715809	WP_010874241	2579791
WP_065709963	WP_010874241	195498
WP_065713015	WP_010874241	374981
WP_062431932	WP_010874241	374982
WP_012305923	WP_010874241	32049
WP_096418958	WP_010874241	1827144
WP_168568046	WP_010874241	2064643
WP_232509840	WP_010874241	1228987
WP_015180366	WP_010874241	1173027
WP_063822949	WP_010874241	56110
WP_084762172	WP_010874241	1752064
WP_224341586	WP_010874241	2653194
WP_017289885	WP_010874241	1973484
WP_199323814	WP_010874241	462680
WP_199323814	WP_010874241	1260963
WP_199323814	WP_010874241	411966
WP_146295555	WP_010874241	522448
WP_096717849	WP_010874241	2005460
WP_015179605	WP_010874241	179408
WP_015202682	WP_010874241	1173022
WP_225938191	WP_010874241	2016068
WP_216655257	WP_010874241	2737172
WP_205370202	WP_010874241	2811482
WP_242723081	WP_010874241	2303329
WP_006632118	WP_010874241	669365
WP_083374018	WP_010874241	1454205
WP_225901175	WP_010874241	111781
WP_083305479	WP_010874241	1458985
WP_211619802	WP_010874241	2812896
WP_015225153	WP_010874241	65093
WP_245824137	WP_010874241	132604
WP_245824137	WP_010874241	1678309
WP_042153460	WP_010874241	1160
WP_081846456	WP_010874241	1160
WP_081846456	WP_010874241	388467
WP_081694495	WP_010874241	329571
WP_015230936	WP_010874241	13035
WP_081692453	WP_010874241	1160
WP_199248351	WP_010874241	222819
WP_012161597	WP_010874241	329726
WP_208673134	WP_010874241	2283154
WP_208673134	WP_010874241	2219813
WP_015158121	WP_010874241	1173020
WP_015173270	WP_010874241	1173025
WP_149818896	WP_010874241	2583530
WP_212662280	WP_010874241	2740837
WP_212662280	WP_010874241	2762553
WP_011056332	WP_010874241	197221
WP_206199961	WP_010874241	2813673
WP_181494619	WP_010874241	2016101
WP_260378682	WP_010874241	459495
WP_006623298	WP_010874241	2759955
WP_006623298	WP_010874241	376219
WP_099797679	WP_010874241	1917166
WP_126389897	WP_010874241	685565
WP_225889197	WP_010874241	1641165
WP_011377921	WP_010874241	2479200
WP_011377921	WP_010874241	1350461
WP_011377921	WP_010874241	269084
WP_011242646	WP_010874241	269084
WP_015123056	WP_010874241	195253
WP_015167869	WP_010874241	1173263
WP_198804677	WP_010874241	1115757
WP_071590719	WP_010874241	195250
WP_011432143	WP_010874241	321332
WP_015163973	WP_010874241	82654
WP_099835839	WP_010874241	321327
WP_010310803	WP_010874241	232348
WP_214339789	WP_010874241	2741953
WP_150884652	WP_010874241	2511069
WP_197212914	WP_010874241	1353136
WP_185187137	WP_010874241	2751170
WP_130129833	WP_010874241	59932
WP_071801163	WP_010874241	1916956
WP_087068719	WP_010874241	1851505
WP_186589081	WP_010874241	1386941
WP_048348289	WP_010874241	32052
WP_197151362	WP_010874241	1353147
WP_186516145	WP_010874241	1968775
WP_186583251	WP_010874241	1442554
WP_186484055	WP_010874241	1050624
WP_041427084	WP_010874241	64471
WP_197170571	WP_010874241	1353134
WP_186479710	WP_010874241	1442555
WP_186595003	WP_010874241	1442556
WP_197162750	WP_010874241	2789857
WP_197156755	WP_010874241	1353138
WP_043692577	WP_010874241	585423
WP_186523745	WP_010874241	1050714
WP_186544199	WP_010874241	1442557
WP_011127417	WP_010874241	84588
WP_131454692	WP_010874241	2751171
WP_186470360	WP_010874241	1050655
WP_186470360	WP_010874241	1866938
WP_007101688	WP_010874241	221352
WP_186471857	WP_010874241	1442551
WP_186490205	WP_010874241	1400865
WP_015110637	WP_010874241	292564
WP_186538482	WP_010874241	1400864
WP_186548101	WP_010874241	221341
WP_011359362	WP_010874241	316279
WP_186698915	WP_010874241	261284
WP_186989137	WP_010874241	166309
WP_038546347	WP_010874241	1280380
WP_038553310	WP_010874241	585425
WP_115161641	WP_010874241	1442553
WP_186570542	WP_010874241	1400866
WP_186493795	WP_010874241	1050657
WP_186513825	WP_010874241	1050646
WP_011365072	WP_010874241	110662
WP_188021021	WP_010874241	221350
WP_186509992	WP_010874241	221345
WP_255325240	WP_010874241	1394889
WP_071846782	WP_010874241	1752063
WP_220610387	WP_010874241	984208
WP_100901654	WP_010874241	2038116
WP_015208714	WP_010874241	56107
WP_251957494	WP_010874241	449208
WP_118162034	WP_010874241	446679
WP_096571704	WP_010874241	1973480
WP_152588545	WP_010874241	2653204
WP_256388815	WP_010874241	1337936
WP_223978872	WP_010874241	2853227
WP_231939927	WP_010874241	1973481
WP_096584139	WP_010874241	231146
WP_114082479	WP_010874241	76335
WP_179074907	WP_010874241	2576903
WP_073634260	WP_010874241	2005464
WP_073634260	WP_010874241	1137095
WP_015081528	WP_010874241	46234
WP_096675812	WP_010874241	2005456
WP_096540970	WP_010874241	1091006
WP_168696562	WP_010874241	315271
WP_257121056	WP_010874241	747523
WP_148765322	WP_010874241	1914871
WP_013193179	WP_010874241	551115
WP_190604344	WP_010874241	1357546
WP_206264442	WP_010874241	2814655
WP_053538891	WP_010874241	1647413
WP_096558642	WP_010874241	2005458
WP_096641766	WP_010874241	1973478
WP_250123413	WP_010874241	155894
WP_015215371	WP_010874241	272123
WP_096608161	WP_010874241	1954172
WP_167723025	WP_010874241	2099387
WP_174711930	WP_010874241	2572090
WP_181929200	WP_010874241	1472755
WP_096693644	WP_010874241	2005469
WP_096693644	WP_010874241	2005463
WP_015140002	WP_010874241	28072
WP_179066878	WP_010874241	2576902
WP_012409412	WP_010874241	63737
WP_169266310	WP_010874241	415709
WP_179051734	WP_010874241	2576904
