,sacc_transformed,qseqid,staxids,sseqid,pident,evalue,bitscore,qgi,sgi,sacc,sscinames,scomnames,stitle
10,WP_015785209,WP_010874243,41431,WP_015785209.1_GCF_000021805.1_ASM2180v1,90.135,0.0,965.0,0,0,WP_015785209.1_GCF_000021805.1_ASM2180v1,Rippkaea orientalis PCC 8801,Rippkaea orientalis PCC 8801,circadian clock protein KaiC [Rippkaea orientalis]
11,WP_013321813,WP_010874243,497965,WP_013321813.1_GCF_000147335.1_ASM14733v1,89.749,0.0,963.0,0,0,WP_013321813.1_GCF_000147335.1_ASM14733v1,Gloeothece verrucosa PCC 7822,Gloeothece verrucosa PCC 7822,circadian clock protein KaiC [Gloeothece verrucosa]
12,WP_009546510,WP_010874243,43989,WP_009546510.1_GCF_000017845.1_ASM1784v1,90.366,0.0,961.0,0,0,WP_009546510.1_GCF_000017845.1_ASM1784v1,Crocosphaera subtropica ATCC 51142,Crocosphaera subtropica ATCC 51142,circadian clock protein KaiC [Crocosphaera subtropica]
13,WP_002775266,WP_010874243,449468,WP_002775266.1_GCF_010196425.1_ASM1019642v1,90.196,0.0,957.0,0,0,WP_002775266.1_GCF_010196425.1_ASM1019642v1,Microcystis aeruginosa NIES-298,Microcystis aeruginosa NIES-298,circadian clock protein KaiC [Microcystis aeruginosa]
14,WP_002743493,WP_010874243,267865,WP_002743493.1_GCF_021172085.1_ASM2117208v1,90.0,0.0,957.0,0,0,WP_002743493.1_GCF_021172085.1_ASM2117208v1,Microcystis aeruginosa FACHB-905,Microcystis aeruginosa FACHB-905,MULTISPECIES: circadian clock protein KaiC [Microcystis]
15,WP_002743493,WP_010874243,1903187,WP_002743493.1_GCF_002095975.1_ASM209597v1,90.0,0.0,957.0,0,0,WP_002743493.1_GCF_002095975.1_ASM209597v1,Microcystis aeruginosa PCC 7806SL,Microcystis aeruginosa PCC 7806SL,MULTISPECIES: circadian clock protein KaiC [Microcystis]
16,WP_015221080,WP_010874243,755178,WP_015221080.1_GCF_000317675.1_ASM31767v1,89.587,0.0,956.0,0,0,WP_015221080.1_GCF_000317675.1_ASM31767v1,Cyanobacterium aponinum PCC 10605,Cyanobacterium aponinum PCC 10605,circadian clock protein KaiC [Cyanobacterium aponinum]
17,WP_002733602,WP_010874243,2686288,WP_002733602.1_GCF_009792235.1_ASM979223v1,89.804,0.0,955.0,0,0,WP_002733602.1_GCF_009792235.1_ASM979223v1,Microcystis aeruginosa FD4,Microcystis aeruginosa FD4,circadian clock protein KaiC [Microcystis aeruginosa]
18,WP_046662386,WP_010874243,1698524,WP_046662386.1_GCF_001704955.2_ASM170495v2,89.804,0.0,954.0,0,0,WP_046662386.1_GCF_001704955.2_ASM170495v2,Microcystis aeruginosa NIES-2481,Microcystis aeruginosa NIES-2481,circadian clock protein KaiC [Microcystis aeruginosa]
19,WP_046662386,WP_010874243,1641812,WP_046662386.1_GCF_000981785.2_ASM98178v2,89.804,0.0,954.0,0,0,WP_046662386.1_GCF_000981785.2_ASM98178v2,Microcystis aeruginosa NIES-2549,Microcystis aeruginosa NIES-2549,circadian clock protein KaiC [Microcystis aeruginosa]
20,WP_008200829,WP_010874243,1967666,WP_008200829.1_GCF_003019735.1_ASM301973v1,89.608,0.0,953.0,0,0,WP_008200829.1_GCF_003019735.1_ASM301973v1,Microcystis sp. MC19,Microcystis sp. MC19,MULTISPECIES: circadian clock protein KaiC [Microcystis]
21,WP_002760201,WP_010874243,1126,WP_002760201.1_GCF_019704275.1_ASM1970427v1,90.0,0.0,952.0,0,0,WP_002760201.1_GCF_019704275.1_ASM1970427v1,Microcystis aeruginosa,Microcystis aeruginosa,circadian clock protein KaiC [Microcystis aeruginosa]
22,WP_012266128,WP_010874243,213615,WP_012266128.1_GCF_003945305.1_ASM394530v1,89.804,0.0,952.0,0,0,WP_012266128.1_GCF_003945305.1_ASM394530v1,Microcystis viridis NIES-102,Microcystis viridis NIES-102,MULTISPECIES: circadian clock protein KaiC [Microcystis]
23,WP_012266128,WP_010874243,449447,WP_012266128.1_GCF_000010625.1_ASM1062v1,89.804,0.0,952.0,0,0,WP_012266128.1_GCF_000010625.1_ASM1062v1,Microcystis aeruginosa NIES-843,Microcystis aeruginosa NIES-843,MULTISPECIES: circadian clock protein KaiC [Microcystis]
24,WP_066118609,WP_010874243,1617448,WP_066118609.1_GCF_001548115.1_Gm3709,89.587,0.0,951.0,0,0,WP_066118609.1_GCF_001548115.1_Gm3709,Geminocystis sp. NIES-3709,Geminocystis sp. NIES-3709,circadian clock protein KaiC [Geminocystis sp. NIES-3709]
25,WP_017293902,WP_010874243,113355,WP_017293902.1_GCF_000332235.1_ASM33223v1,89.02,0.0,950.0,0,0,WP_017293902.1_GCF_000332235.1_ASM33223v1,Geminocystis herdmanii PCC 6308,Geminocystis herdmanii PCC 6308,circadian clock protein KaiC [Geminocystis herdmanii]
26,WP_015133074,WP_010874243,111781,WP_015133074.1_GCF_000316605.1_ASM31660v1,91.054,0.0,950.0,0,0,WP_015133074.1_GCF_000316605.1_ASM31660v1,Leptolyngbya sp. PCC 7376,Leptolyngbya sp. PCC 7376,circadian clock protein KaiC [Leptolyngbya sp. PCC 7376]
27,WP_012305921,WP_010874243,195248,WP_012305921.1_GCF_001693295.1_ASM169329v1,91.218,0.0,949.0,0,0,WP_012305921.1_GCF_001693295.1_ASM169329v1,Synechococcus sp. PCC 8807,Synechococcus sp. PCC 8807,MULTISPECIES: circadian clock protein KaiC [unclassified Synechococcus]
28,WP_012305921,WP_010874243,195498,WP_012305921.1_GCF_001693275.1_ASM169327v1,91.218,0.0,949.0,0,0,WP_012305921.1_GCF_001693275.1_ASM169327v1,Synechococcus sp. PCC 7117,Synechococcus sp. PCC 7117,MULTISPECIES: circadian clock protein KaiC [unclassified Synechococcus]
29,WP_012305921,WP_010874243,374982,WP_012305921.1_GCF_001521855.1_ASM152185v1,91.218,0.0,949.0,0,0,WP_012305921.1_GCF_001521855.1_ASM152185v1,Synechococcus sp. PCC 73109,Synechococcus sp. PCC 73109,MULTISPECIES: circadian clock protein KaiC [unclassified Synechococcus]
30,WP_012305921,WP_010874243,32049,WP_012305921.1_GCF_000019485.1_ASM1948v1,91.218,0.0,949.0,0,0,WP_012305921.1_GCF_000019485.1_ASM1948v1,Synechococcus sp. PCC 7002,Synechococcus sp. PCC 7002,MULTISPECIES: circadian clock protein KaiC [unclassified Synechococcus]
31,WP_012305921,WP_010874243,2579791,WP_012305921.1_GCF_005577135.1_ASM557713v1,91.218,0.0,949.0,0,0,WP_012305921.1_GCF_005577135.1_ASM557713v1,Synechococcus sp. PCC 11901,Synechococcus sp. PCC 11901,MULTISPECIES: circadian clock protein KaiC [unclassified Synechococcus]
32,WP_066343581,WP_010874243,1615909,WP_066343581.1_GCF_001548095.1_Gm3709,88.327,0.0,949.0,0,0,WP_066343581.1_GCF_001548095.1_Gm3709,Geminocystis sp. NIES-3708,Geminocystis sp. NIES-3708,circadian clock protein KaiC [Geminocystis sp. NIES-3708]
33,WP_024546040,WP_010874243,1827144,WP_024546040.1_GCF_002356215.1_ASM235621v1,89.453,0.0,947.0,0,0,WP_024546040.1_GCF_002356215.1_ASM235621v1,Synechococcus sp. NIES-970,Synechococcus sp. NIES-970,MULTISPECIES: circadian clock protein KaiC [unclassified Synechococcus]
34,WP_096385122,WP_010874243,1807358,WP_096385122.1_GCF_002355455.1_ASM235545v1,88.462,0.0,946.0,0,0,WP_096385122.1_GCF_002355455.1_ASM235545v1,Stanieria sp. NIES-3757,Stanieria sp. NIES-3757,circadian clock protein KaiC [Stanieria sp. NIES-3757]
35,WP_065713014,WP_010874243,374981,WP_065713014.1_GCF_001693255.1_ASM169325v1,90.818,0.0,946.0,0,0,WP_065713014.1_GCF_001693255.1_ASM169325v1,Synechococcus sp. PCC 7003,Synechococcus sp. PCC 7003,circadian clock protein KaiC [Synechococcus sp. PCC 7003]
36,WP_015191648,WP_010874243,111780,WP_015191648.1_GCF_000317575.1_ASM31757v1,87.5,0.0,942.0,0,0,WP_015191648.1_GCF_000317575.1_ASM31757v1,Stanieria cyanosphaera PCC 7437,Stanieria cyanosphaera PCC 7437,circadian clock protein KaiC [Stanieria cyanosphaera]
37,WP_119259528,WP_010874243,1763363,WP_119259528.1_GCF_003574135.1_ASM357413v1,87.283,0.0,940.0,0,0,WP_119259528.1_GCF_003574135.1_ASM357413v1,cyanobacterium endosymbiont of Rhopalodia gibberula,cyanobacterium endosymbiont of Rhopalodia gibberula,circadian clock protein KaiC [cyanobacterium endosymbiont of Rhopalodia gibberula]
38,WP_096717845,WP_010874243,2005460,WP_096717845.1_GCF_002368355.1_ASM236835v1,86.042,0.0,926.0,0,0,WP_096717845.1_GCF_002368355.1_ASM236835v1,Chondrocystis sp. NIES-4102,Chondrocystis sp. NIES-4102,circadian clock protein KaiC [Chondrocystis sp. NIES-4102]
39,WP_015180368,WP_010874243,1173027,WP_015180368.1_GCF_000317515.1_ASM31751v1,87.251,0.0,923.0,0,0,WP_015180368.1_GCF_000317515.1_ASM31751v1,Microcoleus sp. PCC 7113,Microcoleus sp. PCC 7113,circadian clock protein KaiC [Allocoleopsis franciscana]
40,WP_199248352,WP_010874243,222819,WP_199248352.1_GCF_016446395.1_ASM1644639v1,84.2,0.0,913.0,0,0,WP_199248352.1_GCF_016446395.1_ASM1644639v1,[Phormidium] sp. ETS-05,[Phormidium] sp. ETS-05,circadian clock protein KaiC [[Phormidium] sp. ETS-05]
41,WP_168568048,WP_010874243,2064643,WP_168568048.1_GCF_012295525.1_ASM1229552v1,85.207,0.0,911.0,0,0,WP_168568048.1_GCF_012295525.1_ASM1229552v1,Oxynema sp. AP17,Oxynema sp. AP17,circadian clock protein KaiC [Oxynema aestuarii]
42,WP_172356476,WP_010874243,2811482,WP_172356476.1_GCF_016919485.1_ASM1691948v1,86.6,0.0,910.0,0,0,WP_172356476.1_GCF_016919485.1_ASM1691948v1,Thermoleptolyngbya sp. PKUAC-SCTB121,Thermoleptolyngbya sp. PKUAC-SCTB121,MULTISPECIES: circadian clock protein KaiC [Thermoleptolyngbya]
43,WP_172356476,WP_010874243,2737172,WP_172356476.1_GCF_013177315.1_ASM1317731v1,86.6,0.0,910.0,0,0,WP_172356476.1_GCF_013177315.1_ASM1317731v1,Thermoleptolyngbya sp. PKUAC-SCTA183,Thermoleptolyngbya sp. PKUAC-SCTA183,MULTISPECIES: circadian clock protein KaiC [Thermoleptolyngbya]
44,WP_137985830,WP_010874243,1454205,WP_137985830.1_GCF_001854205.1_ASM185420v1,84.008,0.0,910.0,0,0,WP_137985830.1_GCF_001854205.1_ASM185420v1,Moorea producens JHB,Moorea producens JHB,circadian clock protein KaiC [Moorea producens]
45,WP_044105888,WP_010874243,1228987,WP_044105888.1_GCF_000829235.1_ASM82923v1,84.778,0.0,910.0,0,0,WP_044105888.1_GCF_000829235.1_ASM82923v1,cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko,cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko,circadian clock protein KaiC [cyanobacterium endosymbiont of Epithemia turgida]
46,WP_224341588,WP_010874243,2653194,WP_224341588.1_GCF_020091585.1_ASM2009158v1,83.398,0.0,909.0,0,0,WP_224341588.1_GCF_020091585.1_ASM2009158v1,cf. Leptolyngbya sp. CCNUW1,cf. Leptolyngbya sp. CCNUW1,circadian clock protein KaiC [Kovacikia minuta]
47,WP_096581016,WP_010874243,1085406,WP_096581016.1_GCF_002367975.1_ASM236797v1,84.086,0.0,906.0,0,0,WP_096581016.1_GCF_002367975.1_ASM236797v1,Anabaenopsis circularis NIES-21,Anabaenopsis circularis NIES-21,MULTISPECIES: circadian clock protein KaiC [Nostocales]
48,WP_062294774,WP_010874243,224013,WP_062294774.1_GCF_001298445.1_ASM129844v1,83.694,0.0,906.0,0,0,WP_062294774.1_GCF_001298445.1_ASM129844v1,Nostoc piscinale CENA21,Nostoc piscinale CENA21,circadian clock protein KaiC [Nostoc piscinale]
49,WP_015112918,WP_010874243,317936,WP_015112918.1_GCF_000316625.1_ASM31662v1,84.086,0.0,905.0,0,0,WP_015112918.1_GCF_000316625.1_ASM31662v1,Nostoc sp. PCC 7107,Nostoc sp. PCC 7107,circadian clock protein KaiC [Nostoc sp. PCC 7107]
50,WP_017289887,WP_010874243,462680,WP_017289887.1_GCF_022372495.1_ASM2237249v1,84.646,0.0,905.0,0,0,WP_017289887.1_GCF_022372495.1_ASM2237249v1,Leptolyngbya boryana IU 594,Leptolyngbya boryana IU 594,MULTISPECIES: circadian clock protein KaiC [Leptolyngbya]
51,WP_017289887,WP_010874243,1973484,WP_017289887.1_GCF_002368255.1_ASM236825v1,84.646,0.0,905.0,0,0,WP_017289887.1_GCF_002368255.1_ASM236825v1,Leptolyngbya boryana NIES-2135,Leptolyngbya boryana NIES-2135,MULTISPECIES: circadian clock protein KaiC [Leptolyngbya]
52,WP_017289887,WP_010874243,1260963,WP_017289887.1_GCF_002142495.1_ASM214249v1,84.646,0.0,905.0,0,0,WP_017289887.1_GCF_002142495.1_ASM214249v1,Leptolyngbya boryana dg5,Leptolyngbya boryana dg5,MULTISPECIES: circadian clock protein KaiC [Leptolyngbya]
53,WP_017289887,WP_010874243,411966,WP_017289887.1_GCF_002142475.1_ASM214247v1,84.646,0.0,905.0,0,0,WP_017289887.1_GCF_002142475.1_ASM214247v1,Leptolyngbya boryana IAM M-101,Leptolyngbya boryana IAM M-101,MULTISPECIES: circadian clock protein KaiC [Leptolyngbya]
54,WP_149031314,WP_010874243,1458985,WP_149031314.1_GCF_001767235.1_ASM176723v1,83.237,0.0,904.0,0,0,WP_149031314.1_GCF_001767235.1_ASM176723v1,Moorea producens PAL-8-15-08-1,Moorea producens PAL-8-15-08-1,circadian clock protein KaiC [Moorea producens]
55,WP_015158125,WP_010874243,1173020,WP_015158125.1_GCF_000317145.1_ASM31714v1,85.657,0.0,904.0,0,0,WP_015158125.1_GCF_000317145.1_ASM31714v1,Chamaesiphon minutus PCC 6605,Chamaesiphon minutus PCC 6605,circadian clock protein KaiC [Chamaesiphon minutus]
56,WP_068383803,WP_010874243,1752064,WP_068383803.1_GCF_001548435.1_ASM154843v1,85.458,0.0,903.0,0,0,WP_068383803.1_GCF_001548435.1_ASM154843v1,Leptolyngbya sp. NIES-3755,Leptolyngbya sp. NIES-3755,circadian clock protein KaiC [Leptolyngbya sp. NIES-3755]
57,WP_103139267,WP_010874243,1869241,WP_103139267.1_GCF_002896875.1_ASM289687v1,84.095,0.0,902.0,0,0,WP_103139267.1_GCF_002896875.1_ASM289687v1,Nostoc sp. CENA543,Nostoc sp. CENA543,circadian clock protein KaiC [Nostoc sp. CENA543]
58,WP_015173272,WP_010874243,1173025,WP_015173272.1_GCF_000317045.1_ASM31704v1,84.524,0.0,901.0,0,0,WP_015173272.1_GCF_000317045.1_ASM31704v1,Geitlerinema sp. PCC 7407,Geitlerinema sp. PCC 7407,circadian clock protein KaiC [Geitlerinema sp. PCC 7407]
59,WP_015140004,WP_010874243,28072,WP_015140004.1_GCF_000316645.1_ASM31664v1,83.333,0.0,901.0,0,0,WP_015140004.1_GCF_000316645.1_ASM31664v1,Nostoc sp. PCC 7524,Nostoc sp. PCC 7524,circadian clock protein KaiC [Nostoc sp. PCC 7524]
60,WP_223046909,WP_010874243,2016068,WP_223046909.1_GCF_019891175.1_ASM1989117v1,85.111,0.0,899.0,0,0,WP_223046909.1_GCF_019891175.1_ASM1989117v1,Leptolyngbya sp. PKUAC-SCTE412,Leptolyngbya sp. PKUAC-SCTE412,circadian clock protein KaiC [Leptothermofonsia sichuanensis]
61,WP_242723083,WP_010874243,2303329,WP_242723083.1_GCF_022701255.1_ASM2270125v1,83.89,0.0,899.0,0,0,WP_242723083.1_GCF_022701255.1_ASM2270125v1,Microcoleus vaginatus HSN003,Microcoleus vaginatus HSN003,circadian clock protein KaiC [Microcoleus vaginatus]
62,WP_179051141,WP_010874243,2576904,WP_179051141.1_GCF_013393945.1_ASM1339394v1,84.369,0.0,898.0,0,0,WP_179051141.1_GCF_013393945.1_ASM1339394v1,Nostoc sp. TCL26-01,Nostoc sp. TCL26-01,circadian clock protein KaiC [Nostoc sp. TCL26-01]
63,WP_080810497,WP_010874243,1641165,WP_080810497.1_GCF_002075285.3_ASM207528v3,85.714,0.0,898.0,0,0,WP_080810497.1_GCF_002075285.3_ASM207528v3,Halomicronema hongdechloris C2206,Halomicronema hongdechloris C2206,circadian clock protein KaiC [Halomicronema hongdechloris]
64,WP_096592860,WP_010874243,1954171,WP_096592860.1_GCF_002368175.1_ASM236817v1,83.832,0.0,897.0,0,0,WP_096592860.1_GCF_002368175.1_ASM236817v1,Calothrix sp. NIES-2098,Calothrix sp. NIES-2098,circadian clock protein KaiC [Calothrix sp. NIES-2098]
65,WP_006632120,WP_010874243,669365,WP_006632120.1_GCF_022701275.1_ASM2270127v1,83.89,0.0,897.0,0,0,WP_006632120.1_GCF_022701275.1_ASM2270127v1,Microcoleus vaginatus PCC 9802,Microcoleus vaginatus PCC 9802,circadian clock protein KaiC [Microcoleus vaginatus]
66,WP_198804675,WP_010874243,1115757,WP_198804675.1_GCF_016403105.1_ASM1640310v1,82.046,0.0,896.0,0,0,WP_198804675.1_GCF_016403105.1_ASM1640310v1,Leptolyngbya sp. BL0902,Leptolyngbya sp. BL0902,circadian clock protein KaiC [Leptolyngbya sp. BL0902]
67,WP_015202680,WP_010874243,1173022,WP_015202680.1_GCF_000317495.1_ASM31749v1,86.139,0.0,896.0,0,0,WP_015202680.1_GCF_000317495.1_ASM31749v1,Crinalium epipsammum PCC 9333,Crinalium epipsammum PCC 9333,circadian clock protein KaiC [Crinalium epipsammum]
68,WP_015131317,WP_010874243,99598,WP_015131317.1_GCF_000316575.1_ASM31657v1,82.136,0.0,896.0,0,0,WP_015131317.1_GCF_000316575.1_ASM31657v1,Calothrix sp. PCC 7507,Calothrix sp. PCC 7507,circadian clock protein KaiC [Calothrix sp. PCC 7507]
69,WP_190604341,WP_010874243,1357546,WP_190604341.1_GCF_019056575.1_ASM1905657v1,83.135,0.0,896.0,0,0,WP_190604341.1_GCF_019056575.1_ASM1905657v1,Richelia sinica FACHB-800,Richelia sinica FACHB-800,circadian clock protein KaiC [Richelia sinica]
70,WP_096624704,WP_010874243,2005462,WP_096624704.1_GCF_002368395.1_ASM236839v1,82.364,0.0,896.0,0,0,WP_096624704.1_GCF_002368395.1_ASM236839v1,Calothrix sp. NIES-3974,Calothrix sp. NIES-3974,circadian clock protein KaiC [Calothrix sp. NIES-3974]
71,WP_015225155,WP_010874243,65093,WP_015225155.1_GCF_000317635.1_ASM31763v1,83.922,0.0,895.0,0,0,WP_015225155.1_GCF_000317635.1_ASM31763v1,Halothece sp. PCC 7418,Halothece sp. PCC 7418,circadian clock protein KaiC [Halothece sp. PCC 7418]
72,WP_011317866,WP_010874243,375899,WP_011317866.1_GCF_009856605.1_ASM985660v1,82.49,0.0,895.0,0,0,WP_011317866.1_GCF_009856605.1_ASM985660v1,Trichormus variabilis 0441,Trichormus variabilis 0441,MULTISPECIES: circadian clock protein KaiC [Nostocaceae]
73,WP_011317866,WP_010874243,2490939,WP_011317866.1_GCF_009498015.1_ASM949801v1,82.49,0.0,895.0,0,0,WP_011317866.1_GCF_009498015.1_ASM949801v1,Anabaena sp. YBS01,Anabaena sp. YBS01,MULTISPECIES: circadian clock protein KaiC [Nostocaceae]
74,WP_011317866,WP_010874243,240292,WP_011317866.1_GCF_000204075.1_ASM20407v1,82.49,0.0,895.0,0,0,WP_011317866.1_GCF_000204075.1_ASM20407v1,Trichormus variabilis ATCC 29413,Trichormus variabilis ATCC 29413,MULTISPECIES: circadian clock protein KaiC [Nostocaceae]
75,WP_015197562,WP_010874243,1170562,WP_015197562.1_GCF_000317435.1_ASM31743v1,81.395,0.0,895.0,0,0,WP_015197562.1_GCF_000317435.1_ASM31743v1,Calothrix sp. PCC 6303,Calothrix sp. PCC 6303,circadian clock protein KaiC [Calothrix sp. PCC 6303]
76,WP_010997037,WP_010874243,103690,WP_010997037.1_GCF_000009705.1_ASM970v1,82.908,0.0,894.0,0,0,WP_010997037.1_GCF_000009705.1_ASM970v1,Nostoc sp. PCC 7120 = FACHB-418,Nostoc sp. PCC 7120 = FACHB-418,MULTISPECIES: circadian clock protein KaiC [Nostocaceae]
77,WP_010997037,WP_010874243,1973479,WP_010997037.1_GCF_002368015.1_ASM236801v1,82.908,0.0,894.0,0,0,WP_010997037.1_GCF_002368015.1_ASM236801v1,Trichormus variabilis NIES-23,Trichormus variabilis NIES-23,MULTISPECIES: circadian clock protein KaiC [Nostocaceae]
78,WP_096540976,WP_010874243,1091006,WP_096540976.1_GCF_002368035.1_ASM236803v1,82.101,0.0,894.0,0,0,WP_096540976.1_GCF_002368035.1_ASM236803v1,Nostoc linckia NIES-25,Nostoc linckia NIES-25,circadian clock protein KaiC [Nostoc linckia]
79,WP_015179606,WP_010874243,179408,WP_015179606.1_GCF_000317475.1_ASM31747v1,83.497,0.0,893.0,0,0,WP_015179606.1_GCF_000317475.1_ASM31747v1,Oscillatoria nigro-viridis PCC 7112,Oscillatoria nigro-viridis PCC 7112,circadian clock protein KaiC [Oscillatoria nigro-viridis]
80,WP_096641764,WP_010874243,1973478,WP_096641764.1_GCF_002367995.1_ASM236799v1,81.359,0.0,892.0,0,0,WP_096641764.1_GCF_002367995.1_ASM236799v1,Calothrix brevissima NIES-22,Calothrix brevissima NIES-22,circadian clock protein KaiC [Calothrix brevissima]
81,WP_015208712,WP_010874243,56107,WP_015208712.1_GCF_000317535.1_ASM31753v1,82.49,0.0,892.0,0,0,WP_015208712.1_GCF_000317535.1_ASM31753v1,Cylindrospermum stagnale PCC 7417,Cylindrospermum stagnale PCC 7417,circadian clock protein KaiC [Cylindrospermum stagnale]
82,WP_006276130,WP_010874243,683357,WP_006276130.1_GCF_021650815.1_ASM2165081v1,82.122,0.0,891.0,0,0,WP_006276130.1_GCF_021650815.1_ASM2165081v1,Cylindrospermopsis raciborskii KLL07,Cylindrospermopsis raciborskii KLL07,MULTISPECIES: circadian clock protein KaiC [Cylindrospermopsis]
83,WP_006276130,WP_010874243,1524929,WP_006276130.1_GCF_018139025.1_ASM1813902v1,82.122,0.0,891.0,0,0,WP_006276130.1_GCF_018139025.1_ASM1813902v1,Cylindrospermopsis raciborskii N8,Cylindrospermopsis raciborskii N8,MULTISPECIES: circadian clock protein KaiC [Cylindrospermopsis]
84,WP_006276130,WP_010874243,2108055,WP_006276130.1_GCF_003367075.2_ASM336707v2,82.122,0.0,891.0,0,0,WP_006276130.1_GCF_003367075.2_ASM336707v2,Cylindrospermopsis raciborskii Cr2010,Cylindrospermopsis raciborskii Cr2010,MULTISPECIES: circadian clock protein KaiC [Cylindrospermopsis]
85,WP_067763280,WP_010874243,1751286,WP_067763280.1_GCF_001548375.1_ASM154837v1,82.779,0.0,890.0,0,0,WP_067763280.1_GCF_001548375.1_ASM154837v1,Nostoc sp. NIES-3756,Nostoc sp. NIES-3756,circadian clock protein KaiC [Nostoc sp. NIES-3756]
86,WP_206264441,WP_010874243,2814655,WP_206264441.1_GCF_017164015.1_ASM1716401v1,81.25,0.0,890.0,0,0,WP_206264441.1_GCF_017164015.1_ASM1716401v1,Nostoc sp. UHCC 0702,Nostoc sp. UHCC 0702,circadian clock protein KaiC [Nostoc sp. UHCC 0702]
87,WP_114082481,WP_010874243,2576903,WP_114082481.1_GCF_013393925.1_ASM1339392v1,82.685,0.0,890.0,0,0,WP_114082481.1_GCF_013393925.1_ASM1339392v1,Nostoc sp. C057,Nostoc sp. C057,MULTISPECIES: circadian clock protein KaiC [Nostocaceae]
88,WP_114082481,WP_010874243,76335,WP_114082481.1_GCF_009873495.1_ASM987349v1,82.685,0.0,890.0,0,0,WP_114082481.1_GCF_009873495.1_ASM987349v1,Nostoc sp. ATCC 53789,Nostoc sp. ATCC 53789,MULTISPECIES: circadian clock protein KaiC [Nostocaceae]
89,WP_179066880,WP_010874243,2576902,WP_179066880.1_GCF_013393905.1_ASM1339390v1,82.296,0.0,890.0,0,0,WP_179066880.1_GCF_013393905.1_ASM1339390v1,Nostoc sp. C052,Nostoc sp. C052,circadian clock protein KaiC [Nostoc sp. C052]
